positive_trait,negative_trait,correction_rate,destruction_rate,clock_failure_rate,avg_raw_score,median_raw_score,avg_final_clock,avg_final_modules,avg_final_knowledge
P1,N1,0.2391,0.7274,0.0335,65.60,62.0,7.62,7.05,8.20
P1,N2,0.2357,0.7596,0.0047,65.43,61.0,6.94,5.05,8.19
P1,N3,0.2367,0.7289,0.0344,66.45,63.0,7.20,7.05,8.16
P1,N4,0.0112,0.9702,0.0186,61.71,62.0,7.37,7.08,5.80
P1,N5,0.2413,0.7500,0.0087,67.32,63.0,7.11,7.06,8.21
P1,N6,0.2413,0.7519,0.0068,67.31,63.0,6.94,7.06,8.19
P1,N7,0.2315,0.7206,0.0479,64.43,61.0,7.87,7.06,8.14
P1,N8,0.2349,0.7567,0.0084,67.23,63.0,7.01,7.00,8.17
P2,N1,0.8449,0.1437,0.0114,80.24,84.0,6.93,5.03,12.69
P2,N2,0.8060,0.1929,0.0011,79.28,83.0,6.43,4.25,12.40
P2,N3,0.8634,0.1249,0.0117,81.17,84.0,6.86,5.03,12.94
P2,N4,0.6572,0.3418,0.0010,75.42,80.0,6.61,4.99,11.02
P2,N5,0.8712,0.1261,0.0027,82.04,85.0,6.63,5.03,12.95
P2,N6,0.8642,0.1349,0.0009,81.11,84.0,6.34,5.14,12.95
P2,N7,0.8486,0.1414,0.0100,80.04,83.0,7.10,5.05,12.67
P2,N8,0.8675,0.1319,0.0006,82.07,85.0,6.35,4.88,12.93
P3,N1,0.2332,0.7517,0.0151,69.50,66.0,7.44,5.22,8.21
P3,N2,0.2480,0.7503,0.0017,70.25,66.0,6.86,4.53,8.19
P3,N3,0.2466,0.7413,0.0121,70.49,67.0,7.11,5.23,8.23
P3,N4,0.0114,0.9816,0.0070,65.40,66.0,7.30,5.25,5.86
P3,N5,0.2377,0.7532,0.0091,70.34,67.0,7.11,5.22,8.19
P3,N6,0.2423,0.7555,0.0022,70.82,67.0,6.88,5.42,8.24
P3,N7,0.2331,0.7500,0.0169,68.88,65.0,7.68,5.24,8.18
P3,N8,0.2375,0.7599,0.0026,70.79,67.0,6.90,5.19,8.21
P4,N1,0.2372,0.7572,0.0056,65.48,61.0,7.01,5.08,8.16
P4,N2,0.2386,0.7607,0.0007,65.82,61.0,6.28,4.36,8.18
P4,N3,0.2390,0.7551,0.0059,66.43,62.0,6.41,5.06,8.20
P4,N4,0.0107,0.9864,0.0029,61.31,61.0,6.64,5.08,5.78
P4,N5,0.2417,0.7575,0.0008,66.74,62.0,6.36,5.07,8.24
P4,N6,0.2469,0.7528,0.0003,66.69,62.0,6.30,5.25,8.23
P4,N7,0.2406,0.7454,0.0140,64.79,61.0,7.24,5.05,8.19
P4,N8,0.2423,0.7574,0.0003,66.68,62.0,6.31,5.01,8.20
P5,N1,0.2336,0.7304,0.0360,63.40,60.0,7.63,5.07,8.16
P5,N2,0.2369,0.7571,0.0060,65.22,61.0,6.96,4.99,8.19
P5,N3,0.2361,0.7292,0.0347,64.37,61.0,7.21,5.05,8.21
P5,N4,0.0102,0.9719,0.0179,59.66,60.0,7.38,5.07,5.77
P5,N5,0.2399,0.7512,0.0089,65.27,61.0,7.08,5.06,8.18
P5,N6,0.2427,0.7504,0.0069,65.48,62.0,6.96,5.36,8.22
P5,N7,0.2282,0.7278,0.0440,62.51,59.5,7.88,5.07,8.17
P5,N8,0.2351,0.7581,0.0068,65.37,61.0,6.98,5.03,8.19
P6,N1,0.3400,0.6270,0.0330,66.30,61.0,7.48,5.06,8.25
P6,N2,0.3267,0.6661,0.0072,66.75,61.0,6.87,4.36,8.15
P6,N3,0.3261,0.6394,0.0345,66.64,61.0,7.16,5.06,8.15
P6,N4,0.0460,0.9353,0.0187,60.43,60.0,7.32,5.08,5.80
P6,N5,0.3363,0.6545,0.0092,67.59,62.0,7.04,5.06,8.21
P6,N6,0.3294,0.6628,0.0078,67.40,62.0,6.88,5.25,8.17
P6,N7,0.3262,0.6282,0.0456,65.06,61.0,7.75,5.07,8.14
P6,N8,0.3310,0.6601,0.0089,67.61,62.0,6.91,5.01,8.18
P7,N1,0.2388,0.7382,0.0230,64.28,61.0,7.36,5.07,8.14
P7,N2,0.2363,0.7597,0.0040,65.20,61.0,6.64,4.37,8.16
P7,N3,0.2358,0.7416,0.0226,65.40,62.0,6.78,5.06,8.20
P7,N4,0.0116,0.9806,0.0078,60.61,61.0,7.01,5.08,5.80
P7,N5,0.2396,0.7554,0.0050,65.93,61.0,6.73,5.06,8.14
P7,N6,0.2352,0.7609,0.0039,65.76,62.0,6.65,5.27,8.16
P7,N7,0.2383,0.7346,0.0271,63.67,60.0,7.61,5.06,8.21
P7,N8,0.2361,0.7591,0.0048,65.88,61.0,6.68,5.00,8.17
P8,N1,0.2937,0.6852,0.0211,68.01,63.0,7.24,7.06,8.71
P8,N2,0.2954,0.7011,0.0035,67.63,62.0,6.54,5.08,8.69
P8,N3,0.2942,0.6872,0.0186,69.00,64.0,6.71,7.07,8.67
P8,N4,0.0391,0.9516,0.0093,63.36,63.0,6.86,7.08,6.29
P8,N5,0.2937,0.7025,0.0038,69.50,64.0,6.65,7.06,8.71
P8,N6,0.2953,0.7007,0.0040,69.26,64.0,6.57,7.05,8.69
P8,N7,0.2971,0.6729,0.0300,67.27,62.0,7.51,7.07,8.67
P8,N8,0.2997,0.6965,0.0038,69.60,64.0,6.59,7.00,8.71
