label,knowledge_threshold,knowledge_reward_total,clock_base_tick,criteria_passed,correction_pct,destruction_pct,clock_failure_pct,mean_combo_corr,std_combo_corr,min_combo_corr,max_combo_corr,avg_score,avg_corr_score,module_crunch_pct,s_tier_pct,max_n7_cf,v1_no_zero_corr,v2_no_above_90,v3_mean_30_55,v4_n7_below_60,v5_std_10_25,v6_s_tier_10_20,p6_spread_min,p6_spread_max,n7_spread_min,n7_spread_max
exp_kt11_kr0_ct1_mod6_j035,11,0,1,6,0.3045,0.6825,0.0129,0.3045,0.2159,0.0070,0.8712,67.9206,85.0570,0.0000,0.1915,0.0485,PASS,PASS,PASS,PASS,PASS,PASS,0.0442,0.3351,0.0129,0.0485
exp_kt11_kr0_ct1_mod6,11,0,1,6,0.3000,0.6643,0.0357,0.3000,0.2094,0.0070,0.8595,66.2735,84.3221,0.0000,0.1646,0.1025,PASS,PASS,PASS,PASS,PASS,PASS,0.0439,0.3331,0.0255,0.1025
kt10_kr0_ct1,10,0,1,5,0.3981,0.5672,0.0347,0.3981,0.2117,0.0410,0.9176,67.9575,83.8743,0.0000,0.1477,0.1025,PASS,FAIL,PASS,PASS,PASS,PASS,0.1360,0.4922,0.0242,0.1025
kt14_kr1_ct1,14,1,1,5,0.4889,0.4985,0.0126,0.4889,0.1973,0.1109,0.9538,70.9135,82.9494,0.0000,0.1151,0.0441,PASS,FAIL,PASS,PASS,PASS,PASS,0.2555,0.5982,0.0013,0.0441
kt10_kr2_ct2,10,2,2,5,0.3481,0.0090,0.6429,0.3481,0.1819,0.0539,0.6898,55.0602,84.9924,0.0000,0.1801,0.8297,PASS,PASS,PASS,FAIL,PASS,PASS,0.0588,0.4113,0.5770,0.8297
kt8_kr1_ct2,8,1,2,5,0.3200,0.0141,0.6659,0.3200,0.1740,0.0418,0.6552,52.8309,84.3775,0.0000,0.1419,0.8440,PASS,PASS,PASS,FAIL,PASS,PASS,0.0441,0.3831,0.6085,0.8440
exp_kt11_kr0_ct1_mod6_j025,11,0,1,5,0.3059,0.6888,0.0053,0.3059,0.2182,0.0070,0.8753,68.7420,85.4555,0.0000,0.2080,0.0251,PASS,PASS,PASS,PASS,PASS,FAIL,0.0442,0.3353,0.0054,0.0251
exp_kt11_kr0_ct1_mod6_j03,11,0,1,5,0.3054,0.6860,0.0086,0.3054,0.2172,0.0070,0.8739,68.3537,85.2645,0.0000,0.2001,0.0358,PASS,PASS,PASS,PASS,PASS,FAIL,0.0442,0.3353,0.0085,0.0358
exp_kt10_kr0_ct1_kt+1,11,0,1,5,0.2975,0.6669,0.0357,0.2975,0.2026,0.0070,0.8420,65.3843,83.2602,0.0000,0.1037,0.1025,PASS,PASS,FAIL,PASS,PASS,PASS,0.0439,0.3337,0.0255,0.1025
kt8_kr2_ct2,8,2,2,4,0.3639,0.0008,0.6353,0.3639,0.1948,0.0553,0.7272,57.7627,86.8693,0.0000,0.3181,0.8285,PASS,PASS,PASS,FAIL,PASS,FAIL,0.0588,0.4241,0.5688,0.8285
kt12_kr2_ct2,12,2,2,4,0.3008,0.0438,0.6554,0.3008,0.1506,0.0462,0.6180,51.6622,83.3203,0.0000,0.0898,0.8332,PASS,PASS,PASS,FAIL,PASS,FAIL,0.0560,0.3722,0.5902,0.8332
kt16_kr1_ct1,16,1,1,4,0.2587,0.7281,0.0132,0.2587,0.1948,0.0067,0.8148,65.5230,81.8570,0.0000,0.0541,0.0441,PASS,PASS,FAIL,PASS,PASS,FAIL,0.0345,0.3148,0.0013,0.0441
